h3_index,borough,latitude,longitude,predicted_prob_cafe,population,level4_perc,age_16_to_34_perc,employed_total_perc,n_restaurant,n_gym,n_station,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,nearby_cafe
89194ad33cfffff,Southwark,51.49863615416912,-0.09541656898041143,0.9742836,1412.5242919921875,64.97163281041286,51.454349372424595,67.1402383134739,3,0,0,0.00882489207755007,0.019142042958178663,0.007865674861121297,5.9213116739668365e-05,59
89194ad307bffff,City of London,51.50954261474643,-0.08878119593908265,0.97006667,1894.677490234375,0.0,0.0,0.0,0,1,0,0.008564132411602476,0.019094919434291972,0.007865674861121297,5.9213116739668365e-05,112
89194e69c13ffff,Waltham Forest,51.574088044954586,-0.009019797509279427,0.96985877,1276.670166015625,31.183462535808967,35.11673796091711,52.85204991087344,2,2,0,0.006273031217187489,0.016336726636249656,0.007865674861121297,5.9213116739668365e-05,22
89195daed33ffff,Brent,51.55289994966234,-0.2959431282474091,0.9679794,936.036865234375,39.076880678067376,32.835239042613466,64.98929336188435,5,1,1,0.005649773366294663,0.01541430397307987,0.007865674861121297,5.9213116739668365e-05,5
89194ad30abffff,Tower Hamlets,51.510388615401354,-0.07032061802627884,0.96715194,2115.515869140625,60.651562546985176,48.04068716261444,66.64148092179826,3,1,0,0.00860235274839615,0.018938943675780945,0.007865674861121297,5.9213116739668365e-05,74
89194e6f603ffff,Barking and Dagenham,51.54044416955031,0.12748677429294508,0.9663276,439.59716796875,0.0,0.0,0.0,2,1,1,0.006316560315989169,0.013808770735819261,0.007865674861121297,5.9213116739668365e-05,0
89194ad8853ffff,Kingston upon Thames,51.398301846010895,-0.2548219773548747,0.96477324,620.00341796875,0.0,0.0,0.0,8,0,0,0.0032710227712764535,0.014214307289663138,0.007865674861121297,5.9213116739668365e-05,14
89194ad0d13ffff,Bromley,51.408281697997666,0.015394199930423324,0.9646368,803.4459228515625,49.83371189910588,35.223207339738074,62.94390118373646,8,0,0,0.0062766060365212996,0.015537843527690085,0.007865674861121297,5.9213116739668365e-05,21
89194ad1063ffff,Lambeth,51.46734677744929,-0.14133361883401013,0.9644965,821.0571899414062,69.26084860602849,44.50162581299843,74.87073422957603,2,2,0,0.008512402510878436,0.018604456496921263,0.007865674861121297,5.9213116739668365e-05,29
89195da4947ffff,City of Westminster,51.50928572938272,-0.15175504261451217,0.96422356,3239.35107421875,59.748427672956,23.6842105263158,53.7037037037037,6,0,0,0.008867125299227108,0.018995679185201283,0.007865674861121297,5.9213116739668365e-05,70
89194ac217bffff,Croydon,51.343607915578005,-0.06414702676480917,0.96367633,476.9239196777344,0.0,0.0,0.0,1,0,0,0.0019286612993910878,0.013531608927378903,0.007865674861121297,5.9213116739668365e-05,2
89195da4eabffff,Camden,51.542601471088346,-0.1764079180262143,0.9627233,684.6568603515625,54.258917627167186,32.853398783147505,52.991137370753314,2,0,1,0.007690316792132411,0.018261393428032787,0.007865674861121297,5.9213116739668365e-05,12
89194ad0507ffff,Lewisham,51.45735470603113,-0.012946003699662924,0.96252394,641.319580078125,50.65571877230569,32.95737986461837,60.751660751660786,2,0,0,0.007473419064751408,0.017570036729153027,0.007865674861121297,5.9213116739668365e-05,20
89194ad0487ffff,Lewisham,51.48062735475144,-0.02566169018341504,0.9621122,1010.939208984375,53.8005245132128,39.82431797845583,61.40540540540541,4,1,0,0.007825408453848024,0.018210524336289308,0.007865674861121297,5.9213116739668365e-05,25
89195da4ab7ffff,City of Westminster,51.52393600192387,-0.17876459502790457,0.96176547,1336.496826171875,66.57432300611015,27.995458234316466,59.162895927601824,3,0,0,0.008128980498018658,0.0185678784931205,0.007865674861121297,5.9213116739668365e-05,33
89195db49b3ffff,Enfield,51.64384191118459,-0.04727428688575899,0.96153575,511.7022705078125,0.0,0.0,0.0,4,0,0,0.0014997707155086613,0.013627611011211056,0.007865674861121297,5.9213116739668365e-05,3
89194ad169bffff,City of Westminster,51.49880219117225,-0.14914816554624893,0.9613579,2837.76171875,60.654408623988076,22.6838506429428,55.59599636032755,3,0,0,0.008622251191246617,0.019010007170365783,0.007865674861121297,5.9213116739668365e-05,63
89194ad263bffff,Tower Hamlets,51.5103928626985,-0.012002015929421656,0.9604485,1202.440673828125,33.74672327975297,38.012440154297956,50.514050719671,1,2,2,0.008626093084533106,0.017995705221710415,0.007865674861121297,5.9213116739668365e-05,36
89194ad1643ffff,Kensington and Chelsea,51.49270020279636,-0.16631138885133814,0.9602832,1938.64892578125,55.05697159210699,36.76249757274197,54.32059106970769,6,2,0,0.008640731284069444,0.018775031031407693,0.007865674861121297,5.9213116739668365e-05,54
89195da5653ffff,Harrow,51.61851087676706,-0.31014138049666756,0.9601207,641.3529052734375,0.0,0.0,0.0,2,1,0,0.0010419197634597007,0.013230068954634671,0.007865674861121297,5.9213116739668365e-05,0
89194ad824bffff,Richmond upon Thames,51.44810666851378,-0.32336819941872996,0.95989007,512.546630859375,67.56137691367816,19.38662746621814,65.08379888268153,4,0,0,0.004584636214054327,0.014106651211014684,0.007865674861121297,5.9213116739668365e-05,27
89194e6d667ffff,Greenwich,51.49275183720901,0.06690792108726151,0.95941997,1648.556396484375,75.84578783846558,62.67720817667294,83.64030335861324,2,1,0,0.006411467947560478,0.01599310500669013,0.007865674861121297,5.9213116739668365e-05,8
89194adab27ffff,Merton,51.40389076851452,-0.19322042374020929,0.9593119,627.4320068359375,57.1722717913521,24.886104783599098,60.7412491420728,0,0,1,0.004929101736655912,0.015590046281935213,0.007865674861121297,5.9213116739668365e-05,7
89195dac9dbffff,Ealing,51.50926292264048,-0.3762268531889586,0.9590252,808.222900390625,0.0,0.0,0.0,5,0,0,0.003924780986637986,0.013400545083964613,0.007865674861121297,5.9213116739668365e-05,2
89194ada617ffff,Hammersmith and Fulham,51.505395427917804,-0.23489733882407682,0.95892555,879.2503051757812,57.811392156275495,35.74268992054414,66.27810158201501,5,0,0,0.007938838790159131,0.017497230823573535,0.007865674861121297,5.9213116739668365e-05,27
89194ad3487ffff,Tower Hamlets,51.534916108512306,-0.05537736965982453,0.95846844,1214.927001953125,51.30222590392122,45.31296919681149,61.696658097686345,3,0,0,0.008424256395570363,0.018394796448291888,0.007865674861121297,5.9213116739668365e-05,40
89194ad305bffff,City of London,51.51729772771215,-0.09303539878130922,0.9584356,3220.466064453125,83.62958546782079,32.28024410631302,67.52450980392157,1,0,0,0.008568981708326944,0.019058862900809083,0.007865674861121297,5.9213116739668365e-05,115
89194ada60bffff,Hammersmith and Fulham,51.504959363405916,-0.24413832436498745,0.95839256,980.3990478515625,53.193639731857374,30.46532134842529,62.39503468419133,3,0,0,0.00782634828322091,0.01725746703718914,0.007865674861121297,5.9213116739668365e-05,12
89195da59b3ffff,Kensington and Chelsea,51.52493761977834,-0.21407273478316352,0.9573015,984.1841430664062,41.84642473447464,34.71319545295981,49.58077138065956,2,1,0,0.007975406563872278,0.01791910833092478,0.007865674861121297,5.9213116739668365e-05,27
89194e69877ffff,Hackney,51.54685892093321,-0.02564963252720607,0.95716596,871.6807861328125,49.736098934836306,40.12332737133908,60.90841399851078,3,3,0,0.008096266429597609,0.017596750404814503,0.007865674861121297,5.9213116739668365e-05,22
89195da4963ffff,City of Westminster,51.50404406035715,-0.1504514772353414,0.9570853,1213.005615234375,63.5071090047393,35.6164383561644,56.9377990430622,7,0,0,0.008572697305079034,0.0190123615920276,0.007865674861121297,5.9213116739668365e-05,26
89194ad11cfffff,Lambeth,51.460447376689714,-0.11862341637559859,0.95706034,1588.080810546875,63.37548330360108,45.40147151559666,69.25407042786826,2,1,0,0.008388455697702576,0.018547728116639618,0.007865674861121297,5.9213116739668365e-05,49
